"totalvalue","finsqft","lotsize","bedroom","fullbath","yearbuilt","esdistrict","msdistrict","hsdistrict","censustract","condition","cooling","age","fp"
796600,384,191.57,0,0,1959,"Crozet","Henley","Western Albemarle","101","Poor","No Central Air",66,"No"
340900,2208,6.215,4,1,1754,"Ivy","Henley","Western Albemarle","101","Poor","No Central Air",271,"No"
869500,3560,17.519,4,2,1900,"Stone-Robinson","Burley","Monticello","104.01","Poor","No Central Air",125,"Yes"
232800,732,10.326,3,1,1900,"Red Hill","Walton","Monticello","112.02","Poor","No Central Air",125,"No"
229400,1000,4,3,1,1925,"Stony Point","Burley","Monticello","105.01","Poor","No Central Air",100,"No"
128300,988,2.1,3,1,1972,"Scottsville","Walton","Monticello","114","Poor","No Central Air",53,"No"
138900,924,7,2,1,1954,"Baker-Butler","Lakeside","Albemarle","103.03","Poor","No Central Air",71,"No"
972800,1676,162.87,4,1,1750,"Scottsville","Walton","Monticello","114","Poor","No Central Air",275,"Yes"
118100,1296,1.28,4,1,1973,"Stone-Robinson","Burley","Monticello","104.01","Poor","No Central Air",52,"No"
127200,1152,3.454,3,1,1974,"Red Hill","Walton","Monticello","114","Poor","Central Air",51,"Yes"
297500,1056,0,3,1,1972,"Agnor","Journey","Albemarle","107.02","Fair","No Central Air",53,"No"
450500,2236,0.341,4,2,1989,"Baker-Butler","Lakeside","Albemarle","103.03","Fair","Central Air",36,"Yes"
405000,2134,2.072,4,3,1978,"Murray","Henley","Western Albemarle","110","Fair","Central Air",47,"Yes"
42200,1248,2.33,3,1,1950,"Scottsville","Walton","Monticello","114","Fair","No Central Air",75,"No"
465700,1983,0.372,3,2,1995,"Mountain View","Walton","Monticello","113.01","Fair","Central Air",30,"Yes"
187400,960,2.004,3,1,1975,"Stone-Robinson","Walton","Monticello","113.01","Fair","No Central Air",50,"No"
271500,1408,3.32,3,2,1933,"Red Hill","Walton","Monticello","112.02","Fair","No Central Air",92,"No"
222000,1250,4.38,2,2,1987,"Broadus Wood","Journey","Albemarle","101","Fair","Central Air",38,"No"
152100,1184,2,3,1,1959,"Stone-Robinson","Burley","Monticello","104.01","Fair","Central Air",66,"No"
270600,1598,2.37,4,2,1974,"Red Hill","Walton","Monticello","112.02","Fair","Central Air",51,"Yes"
265100,1176,0.241,4,1,1973,"Baker-Butler","Lakeside","Albemarle","102.01","Fair","No Central Air",52,"No"
960700,2993,0,5,4,1985,"Murray","Henley","Western Albemarle","110","Fair","Central Air",40,"Yes"
206700,1256,0,3,1,1954,"Crozet","Henley","Western Albemarle","111.01","Fair","Central Air",71,"No"
217600,2604,2,3,3,1997,"Red Hill","Walton","Monticello","113.01","Fair","Central Air",28,"No"
192300,958,0.796,3,1,1948,"Scottsville","Walton","Monticello","114","Fair","Central Air",77,"No"
240000,1481,0,3,1,1974,"Crozet","Henley","Western Albemarle","111.03","Fair","Central Air",51,"No"
326400,1664,7.852,3,1,1974,"Baker-Butler","Lakeside","Albemarle","102.01","Fair","No Central Air",51,"Yes"
283800,1532,0.45,4,2,1952,"Crozet","Henley","Western Albemarle","111.02","Fair","Central Air",73,"Yes"
292000,1742,2,5,2,1984,"Red Hill","Walton","Monticello","113.01","Fair","No Central Air",41,"No"
253900,1383,3.87,3,1,1948,"Crozet","Henley","Western Albemarle","111.01","Fair","No Central Air",77,"No"
379900,2908,2.572,4,3,1912,"Stony Point","Lakeside","Albemarle","104.01","Fair","Central Air",113,"Yes"
224900,1260,0.094,3,1,1981,"Greer","Journey","Albemarle","107.02","Fair","Central Air",44,"Yes"
314600,1313,0.164,2,1,1983,"Agnor","Journey","Albemarle","107.02","Fair","Central Air",42,"Yes"
272500,1608,2.312,3,1,1952,"Red Hill","Walton","Monticello","114","Fair","Central Air",73,"Yes"
227300,1260,0.095,3,1,1981,"Greer","Journey","Albemarle","107.02","Fair","Central Air",44,"Yes"
276700,1080,0,3,1,1954,"Crozet","Henley","Western Albemarle","111.01","Fair","No Central Air",71,"No"
342900,2470,1.561,4,2,1958,"Brownsville","Henley","Western Albemarle","111.02","Fair","No Central Air",67,"Yes"
488700,768,9.865,2,1,1945,"Murray","Henley","Western Albemarle","112.02","Fair","No Central Air",80,"No"
85500,1344,5.009,3,2,1990,"Scottsville","Walton","Monticello","113.01","Fair","Central Air",35,"No"
321900,1520,0.226,3,1,1983,"Mountain View","Burley","Monticello","113.03","Fair","Central Air",42,"Yes"
214800,1407,0.3,3,1,1959,"Brownsville","Henley","Western Albemarle","112.01","Fair","Central Air",66,"Yes"
587000,2529,12,3,3,1965,"Stone-Robinson","Burley","Monticello","104.01","Fair","Central Air",60,"Yes"
201600,1152,0.8,3,1,1974,"Stone-Robinson","Burley","Monticello","104.01","Fair","Central Air",51,"Yes"
300800,1492,2.92,3,2,1754,"Scottsville","Walton","Monticello","114","Fair","Central Air",271,"No"
211100,1981,0,4,2,1900,"Red Hill","Walton","Monticello","112.02","Fair","No Central Air",125,"Yes"
133900,892,0.5,2,1,1965,"Crozet","Henley","Western Albemarle","111.01","Fair","No Central Air",60,"No"
227000,1232,2.012,3,1,1993,"Baker-Butler","Lakeside","Albemarle","102.01","Fair","Central Air",32,"Yes"
457100,2070,1.07,3,2,1978,"Agnor","Burley","Albemarle","106.02","Fair","Central Air",47,"Yes"
300100,960,5.116,3,1,1972,"Brownsville","Henley","Western Albemarle","112.01","Fair","No Central Air",53,"No"
167700,1400,4,3,1,1942,"Stony Point","Lakeside","Albemarle","104.01","Fair","No Central Air",83,"No"
228700,1200,4.01,3,3,1972,"Red Hill","Walton","Monticello","113.01","Fair","No Central Air",53,"No"
235500,2688,112.909,3,3,1990,"Red Hill","Walton","Monticello","114","Fair","Central Air",35,"No"
281700,1876,9.49,4,1,1936,"Baker-Butler","Lakeside","Albemarle","102.01","Fair","No Central Air",89,"No"
118500,841,1.5,3,1,1754,"Stone-Robinson","Burley","Monticello","104.01","Fair","No Central Air",271,"No"
116900,883,5.005,0,1,1958,"Stony Point","Lakeside","Albemarle","104.01","Fair","No Central Air",67,"Yes"
171800,1056,2,3,1,1973,"Stone-Robinson","Burley","Monticello","104.01","Fair","No Central Air",52,"No"
440000,2139,23.01,3,1,1977,"Red Hill","Walton","Monticello","112.02","Fair","Central Air",48,"Yes"
148500,960,1.108,3,1,1975,"Brownsville","Henley","Western Albemarle","112.01","Fair","Central Air",50,"No"
198800,1529,0.5,4,2,1944,"Murray","Henley","Western Albemarle","110","Fair","No Central Air",81,"No"
487300,3022,1.877,3,3,1996,"Murray","Henley","Western Albemarle","110","Fair","Central Air",29,"Yes"
700700,3690,0.544,4,4,1993,"Stone-Robinson","Burley","Monticello","104.02","Fair","Central Air",32,"Yes"
1078100,3252,0,3,3,1982,"Murray","Henley","Western Albemarle","110","Fair","Central Air",43,"Yes"
315300,1568,6.722,3,2,2005,"Stone-Robinson","Walton","Monticello","113.01","Fair","Central Air",20,"No"
195700,1064,5.03,1,1,1960,"Stone-Robinson","Walton","Monticello","104.02","Fair","No Central Air",65,"No"
143200,1144,1,3,1,1963,"Stone-Robinson","Burley","Monticello","104.01","Fair","Central Air",62,"Yes"
359100,1660,2.608,3,2,1959,"Red Hill","Walton","Monticello","112.02","Fair","Central Air",66,"Yes"
260300,2846,3.439,5,3,1977,"Broadus Wood","Journey","Albemarle","101","Fair","Central Air",48,"Yes"
270600,1107,0,5,2,1965,"Greer","Journey","Albemarle","108.01","Fair","Central Air",60,"No"
277700,1392,1.33,4,2,1964,"Baker-Butler","Lakeside","Albemarle","103.01","Fair","Central Air",61,"No"
244600,1504,10.549,3,1,1967,"Red Hill","Walton","Monticello","112.02","Fair","No Central Air",58,"No"
195000,1332,1.087,3,1,1946,"Brownsville","Henley","Western Albemarle","111.02","Fair","No Central Air",79,"No"
825900,2033,4.78,2,2,1963,"Ivy","Henley","Western Albemarle","110","Fair","Central Air",62,"Yes"
389000,2080,0.309,4,2,1988,"Woodbrook","Journey","Albemarle","106.04","Fair","Central Air",37,"Yes"
245000,2808,5,4,2,1754,"Broadus Wood","Journey","Albemarle","101","Fair","No Central Air",271,"Yes"
170000,960,2.017,3,1,1977,"Scottsville","Walton","Monticello","114","Fair","No Central Air",48,"No"
359500,1962,2,3,2,1950,"Crozet","Henley","Western Albemarle","112.01","Fair","Central Air",75,"No"
233000,1650,4,3,2,1975,"Ivy","Henley","Western Albemarle","101","Fair","Central Air",50,"No"
611600,1749,2.645,3,2,1754,"Agnor","Burley","Albemarle","106.02","Fair","No Central Air",271,"Yes"
188000,1120,2,2,1,1973,"Stone-Robinson","Burley","Monticello","104.01","Fair","No Central Air",52,"No"
345600,1581,1.267,5,3,1972,"Ivy","Henley","Western Albemarle","101","Fair","Central Air",53,"Yes"
886600,1248,57.4,3,1,1920,"Mountain View","Walton","Monticello","113.01","Fair","No Central Air",105,"No"
260700,1056,0.998,3,2,1976,"Stone-Robinson","Burley","Monticello","104.02","Fair","Central Air",49,"No"
185100,1008,2.064,3,1,1974,"Red Hill","Walton","Monticello","114","Fair","No Central Air",51,"No"
252000,1288,0,3,2,1986,"Greer","Journey","Albemarle","108.02","Fair","Central Air",39,"Yes"
445800,1376,0.69,3,2,1964,"Agnor","Burley","Albemarle","106.02","Fair","Central Air",61,"Yes"
329300,1635,0,5,3,1971,"Baker-Butler","Lakeside","Albemarle","103.03","Fair","Central Air",54,"Yes"
316800,1225,0,3,3,1961,"Greer","Journey","Albemarle","108.01","Fair","Central Air",64,"Yes"
345800,1716,2.15,3,2,1964,"Baker-Butler","Lakeside","Albemarle","103.01","Fair","Central Air",61,"Yes"
166400,1008,2.02,3,1,1973,"Baker-Butler","Lakeside","Albemarle","102.01","Fair","No Central Air",52,"No"
459500,1891,7.455,3,3,1968,"Broadus Wood","Journey","Albemarle","102.01","Fair","Central Air",57,"Yes"
324500,1224,0,3,3,1971,"Brownsville","Henley","Western Albemarle","112.01","Fair","Central Air",54,"No"
576900,3349,100.512,4,2,1730,"Ivy","Henley","Western Albemarle","102.02","Fair","No Central Air",295,"Yes"
