"totalvalue","finsqft","lotsize","bedroom","fullbath","yearbuilt","esdistrict","msdistrict","hsdistrict","censustract","condition","cooling","age","fp"
505500,2498,1.484,4,2,1984,"Woodbrook","Journey","Albemarle","106.04","Average","Central Air",41,"Yes"
487600,1764,1.1118,4,3,1967,"Woodbrook","Journey","Albemarle","106.04","Average","Central Air",58,"Yes"
352400,1616,10.35,2,2,1993,"Red Hill","Walton","Monticello","114","Average","Central Air",32,"No"
216100,1008,2.3,3,2,1979,"Ivy","Henley","Western Albemarle","101","Average","Central Air",46,"Yes"
370900,1520,0.06,3,2,2007,"Brownsville","Henley","Western Albemarle","111.03","Average","Central Air",18,"Yes"
434300,1680,0.043,4,3,2014,"Agnor","Burley","Albemarle","106.02","Average","Central Air",11,"No"
334000,1718,0.32,3,2,1999,"Baker-Butler","Lakeside","Albemarle","103.01","Average","Central Air",26,"Yes"
656000,2130,0.1,3,2,2023,"Crozet","Henley","Western Albemarle","111.01","Average","Central Air",2,"No"
281000,1454,0,2,1,1984,"Agnor","Journey","Albemarle","107.02","Average","Central Air",41,"Yes"
303000,1286,2.001,3,2,1978,"Scottsville","Walton","Monticello","114","Average","Central Air",47,"No"
697800,2696,0.156,4,3,2021,"Agnor","Burley","Albemarle","106.02","Average","Central Air",4,"Yes"
284400,1458,0.085,3,2,1996,"Baker-Butler","Lakeside","Albemarle","102.01","Average","Central Air",29,"Yes"
351600,1502,0,3,2,1973,"Agnor","Burley","Albemarle","107.02","Average","Central Air",52,"Yes"
381400,1489,0.037,2,2,2024,"Hollymead","Lakeside","Albemarle","103.01","Average","Central Air",1,"No"
672000,3150,1.735,5,3,2002,"Murray","Henley","Western Albemarle","110","Average","Central Air",23,"Yes"
444800,1320,0.2884,3,2,1975,"Agnor","Journey","Albemarle","106.03","Average","Central Air",50,"Yes"
420800,1300,3.58,3,2,2011,"Stony Point","Burley","Monticello","104.01","Average","Central Air",14,"No"
697000,2929,0.312,4,3,1998,"Agnor","Burley","Albemarle","106.02","Average","Central Air",27,"Yes"
973300,3185,11.72,3,3,2016,"Ivy","Henley","Western Albemarle","101","Average","Central Air",9,"Yes"
370100,1570,1.31,3,1,1929,"Murray","Henley","Western Albemarle","112.02","Average","No Central Air",96,"Yes"
269100,1362,0.094,3,1,1983,"Greer","Journey","Albemarle","108.01","Average","Central Air",42,"Yes"
397700,1668,0.05,3,3,2007,"Hollymead","Lakeside","Albemarle","103.01","Average","Central Air",18,"No"
353600,1800,0.346,2,2,2024,"Ivy","Henley","Western Albemarle","101","Average","Central Air",1,"Yes"
767600,2407,0.149,3,3,2015,"Brownsville","Henley","Western Albemarle","111.03","Average","Central Air",10,"Yes"
1301400,3120,18.23,4,3,2003,"Stony Point","Burley","Monticello","105.01","Average","Central Air",22,"Yes"
485900,1721,2.548,4,3,1971,"Woodbrook","Journey","Albemarle","106.04","Average","Central Air",54,"Yes"
389400,1344,2.377,3,2,1983,"Mountain View","Walton","Monticello","113.03","Average","Central Air",42,"Yes"
1383500,3972,23.17,3,4,1996,"Stony Point","Burley","Monticello","105.01","Average","Central Air",29,"Yes"
369300,2165,3.2,3,2,1965,"Broadus Wood","Journey","Albemarle","101","Average","Central Air",60,"Yes"
395400,1596,2.172,3,2,2007,"Murray","Henley","Western Albemarle","112.01","Average","Central Air",18,"Yes"
752500,3600,0.246,4,2,2003,"Agnor","Burley","Albemarle","106.02","Average","Central Air",22,"Yes"
138000,1200,0.051,4,2,2024,"Mountain View","Walton","Monticello","113.02","Average","Central Air",1,"No"
649100,2619,1.783,4,2,1987,"Stone-Robinson","Burley","Monticello","105.01","Average","Central Air",38,"Yes"
278200,1080,1.272,3,2,1972,"Stone-Robinson","Burley","Monticello","104.01","Average","Central Air",53,"No"
609600,2576,2.152,4,3,1985,"Ivy","Henley","Western Albemarle","110","Average","Central Air",40,"Yes"
794600,3064,2.024,4,2,2001,"Baker-Butler","Lakeside","Albemarle","104.01","Average","Central Air",24,"Yes"
276600,1140,0.066,4,2,2023,"Mountain View","Walton","Monticello","113.02","Average","Central Air",2,"No"
620200,1416,32,3,1,1900,"Broadus Wood","Journey","Albemarle","101","Average","No Central Air",125,"No"
599600,2496,2.017,4,2,1987,"Ivy","Henley","Western Albemarle","110","Average","Central Air",38,"Yes"
459000,2080,0.281,4,2,1990,"Woodbrook","Journey","Albemarle","106.04","Average","Central Air",35,"Yes"
381200,1371,2.77,3,2,1980,"Broadus Wood","Journey","Albemarle","102.01","Average","Central Air",45,"Yes"
460600,2260,0.036,3,3,2019,"Mountain View","Walton","Monticello","113.03","Average","No Central Air",6,"No"
789000,2347,11.73,4,2,1954,"Brownsville","Henley","Western Albemarle","111.03","Average","Central Air",71,"Yes"
459900,2122,0.31,4,2,1992,"Baker-Butler","Lakeside","Albemarle","103.03","Average","Central Air",33,"Yes"
413600,2280,0.036,3,2,2017,"Hollymead","Lakeside","Albemarle","103.01","Average","Central Air",8,"No"
349700,1578,2,3,2,1972,"Broadus Wood","Journey","Albemarle","102.01","Average","No Central Air",53,"Yes"
870400,3189,0.475,4,4,2018,"Crozet","Henley","Western Albemarle","111.02","Average","Central Air",7,"Yes"
464000,1760,0.039,3,2,2023,"Mountain View","Burley","Monticello","113.02","Average","Central Air",2,"No"
324900,3662,0.947,4,3,2024,"Murray","Henley","Western Albemarle","110","Average","Central Air",1,"No"
442900,1608,0.186,3,3,1991,"Mountain View","Burley","Monticello","112.02","Average","Central Air",34,"Yes"
1181700,3691,2.13,5,3,1994,"Greer","Journey","Albemarle","102.02","Average","Central Air",31,"Yes"
355100,2160,0.055,4,3,2004,"Agnor","Journey","Albemarle","106.03","Average","Central Air",21,"Yes"
293600,1056,2.57,3,1,1966,"Ivy","Henley","Western Albemarle","101","Average","Central Air",59,"No"
858800,2125,5.307,3,2,2007,"Crozet","Henley","Western Albemarle","101","Average","Central Air",18,"No"
392000,1184,0.9,3,2,1961,"Crozet","Henley","Western Albemarle","111.01","Average","Central Air",64,"Yes"
706200,3076,5.006,5,3,1970,"Broadus Wood","Journey","Albemarle","102.02","Average","Central Air",55,"Yes"
257600,960,0.2448,3,1,1979,"Baker-Butler","Lakeside","Albemarle","102.01","Average","Central Air",46,"No"
537000,2876,4.425,4,3,1991,"Broadus Wood","Journey","Albemarle","101","Average","Central Air",34,"Yes"
604700,2016,0.334,3,3,2006,"Stony Point","Burley","Monticello","105.01","Average","Central Air",19,"Yes"
514000,1623,0,4,2,1970,"Greer","Journey","Albemarle","108.01","Average","Central Air",55,"Yes"
830100,3364,3.928,5,4,1990,"Ivy","Henley","Western Albemarle","101","Average","Central Air",35,"Yes"
409800,2120,4.838,4,1,1912,"Scottsville","Walton","Monticello","114","Average","No Central Air",113,"Yes"
384900,2005,0.041,3,3,2008,"Crozet","Henley","Western Albemarle","111.01","Average","Central Air",17,"Yes"
237400,1428,0,3,1,1973,"Agnor","Burley","Albemarle","107.02","Average","Central Air",52,"No"
287500,1119,0,2,3,1977,"Agnor","Burley","Albemarle","106.02","Average","Central Air",48,"Yes"
756000,3035,0.485,4,3,2005,"Mountain View","Walton","Monticello","112.02","Average","Central Air",20,"Yes"
325600,1768,0.45,3,2,1995,"Baker-Butler","Lakeside","Albemarle","103.01","Average","Central Air",30,"No"
448500,1437,0.287,3,2,1992,"Mountain View","Walton","Monticello","113.01","Average","Central Air",33,"Yes"
486600,1728,2.001,3,2,1983,"Stony Point","Burley","Monticello","105.01","Average","Central Air",42,"Yes"
581500,2516,0.321,4,3,2005,"Stony Point","Burley","Monticello","105.01","Average","Central Air",20,"Yes"
225900,1336,1.548,2,1,1895,"Broadus Wood","Journey","Albemarle","101","Average","No Central Air",130,"No"
564700,2306,0.122,4,3,2024,"Hollymead","Lakeside","Albemarle","103.02","Average","Central Air",1,"No"
3054800,8517,474.06,3,5,1904,"Scottsville","Walton","Monticello","114","Average","Central Air",121,"Yes"
254000,1474,0,3,2,1974,"Mountain View","Burley","Monticello","113.02","Average","Central Air",51,"No"
730000,3014,0.408,5,3,1997,"Agnor","Burley","Albemarle","106.02","Average","Central Air",28,"Yes"
531800,1400,10.864,4,2,1985,"Brownsville","Henley","Western Albemarle","112.01","Average","No Central Air",40,"No"
1038600,3152,48.56,4,3,2005,"Red Hill","Walton","Monticello","113.01","Average","Central Air",20,"No"
127400,1188,5,3,2,2003,"Red Hill","Walton","Monticello","113.01","Average","Central Air",22,"No"
324100,1025,0,3,1,1960,"Agnor","Burley","Albemarle","107.02","Average","No Central Air",65,"No"
660900,2206,0.11,3,2,2022,"Baker-Butler","Lakeside","Albemarle","103.03","Average","Central Air",3,"No"
472500,2197,2.123,4,2,1989,"Murray","Henley","Western Albemarle","110","Average","Central Air",36,"Yes"
614800,2738,4.821,3,3,2001,"Murray","Henley","Western Albemarle","110","Average","Central Air",24,"Yes"
429200,1623,0.404,4,2,1990,"Mountain View","Walton","Monticello","113.01","Average","Central Air",35,"Yes"
427600,1791,0.249,3,2,1992,"Baker-Butler","Lakeside","Albemarle","103.03","Average","Central Air",33,"Yes"
553200,2358,2.13,5,3,1967,"Ivy","Henley","Western Albemarle","110","Average","Central Air",58,"Yes"
596700,2105,0.507,3,2,2019,"Crozet","Henley","Western Albemarle","111.01","Average","Central Air",6,"No"
903900,3497,77.62,3,3,1804,"Red Hill","Walton","Monticello","114","Average","Central Air",221,"Yes"
473900,1936,0.296,4,2,1990,"Baker-Butler","Lakeside","Albemarle","103.03","Average","Central Air",35,"Yes"
1222400,3399,3.125,5,5,2003,"Murray","Henley","Western Albemarle","112.02","Average","Central Air",22,"Yes"
956000,2238,0.135,2,2,1992,"Murray","Henley","Western Albemarle","110","Average","Central Air",33,"Yes"
676200,3015,3.02,4,3,2005,"Broadus Wood","Journey","Albemarle","102.01","Average","Central Air",20,"Yes"
323000,1840,4.02,3,2,1973,"Mountain View","Walton","Monticello","113.01","Average","No Central Air",52,"Yes"
578900,2416,0.23,4,2,2014,"Crozet","Henley","Western Albemarle","111.03","Average","Central Air",11,"Yes"
535000,2430,0.255,3,2,2002,"Crozet","Henley","Western Albemarle","111.03","Average","Central Air",23,"Yes"
1340900,3702,23.71,3,4,2000,"Stone-Robinson","Burley","Monticello","104.01","Average","Central Air",25,"Yes"
576200,2269,0.365,4,3,1998,"Agnor","Burley","Albemarle","106.02","Average","Central Air",27,"Yes"
474800,2470,79.733,2,2,1985,"Red Hill","Walton","Monticello","112.02","Average","Central Air",40,"No"
314300,1242,0,2,2,1991,"Agnor","Burley","Albemarle","106.02","Average","Central Air",34,"Yes"
503000,2545,0.187,4,2,2004,"Baker-Butler","Lakeside","Albemarle","103.01","Average","Central Air",21,"Yes"
406900,1817,0.479,3,2,1960,"Crozet","Henley","Western Albemarle","111.01","Average","Central Air",65,"Yes"
703200,2454,2.78,4,4,1985,"Ivy","Henley","Western Albemarle","101","Average","Central Air",40,"Yes"
587700,2968,11.001,4,5,1990,"Broadus Wood","Journey","Albemarle","102.02","Average","Central Air",35,"Yes"
67500,2694,0.041,3,2,2024,"Hollymead","Lakeside","Albemarle","103.02","Average","Central Air",1,"No"
309900,1386,0,3,2,1969,"Greer","Journey","Albemarle","108.02","Average","Central Air",56,"No"
406100,1312,4.619,3,2,1983,"Stone-Robinson","Burley","Monticello","104.02","Average","Central Air",42,"No"
867700,2796,0.461,4,3,2013,"Brownsville","Henley","Western Albemarle","111.03","Average","Central Air",12,"Yes"
660900,2244,0.702,4,3,2012,"Crozet","Henley","Western Albemarle","111.02","Average","Central Air",13,"Yes"
1398700,4286,0.307,4,3,1982,"Murray","Henley","Western Albemarle","110","Average","Central Air",43,"Yes"
294800,1458,0.128,4,3,1999,"Baker-Butler","Lakeside","Albemarle","102.01","Average","Central Air",26,"Yes"
1265400,3669,1.108,5,4,2015,"Mountain View","Walton","Monticello","112.02","Average","Central Air",10,"Yes"
402100,1964,2.51,3,2,1987,"Broadus Wood","Journey","Albemarle","102.01","Average","Central Air",38,"No"
304800,1720,0.034,3,3,2019,"Brownsville","Henley","Western Albemarle","111.03","Average","Central Air",6,"No"
284600,1266,0,3,1,1970,"Crozet","Henley","Western Albemarle","111.03","Average","Central Air",55,"Yes"
280000,1040,0,3,3,1993,"Agnor","Burley","Albemarle","106.02","Average","Central Air",32,"Yes"
874100,2875,0.169,3,2,2023,"Brownsville","Henley","Western Albemarle","111.03","Average","Central Air",2,"Yes"
649800,2850,0.547,4,3,2001,"Mountain View","Burley","Monticello","112.02","Average","Central Air",24,"Yes"
383500,1796,0.064,3,2,2006,"Brownsville","Henley","Western Albemarle","111.03","Average","Central Air",19,"Yes"
850400,3884,0.588,4,3,2016,"Stony Point","Burley","Monticello","105.01","Average","Central Air",9,"Yes"
241100,1260,0.083,3,1,1979,"Greer","Journey","Albemarle","108.02","Average","Central Air",46,"No"
369100,1060,0,2,2,1991,"Murray","Henley","Western Albemarle","110","Average","Central Air",34,"Yes"
331500,1566,0.979,3,2,1987,"Broadus Wood","Journey","Albemarle","102.01","Average","Central Air",38,"Yes"
778800,1726,2.58,3,3,1966,"Ivy","Henley","Western Albemarle","110","Average","Central Air",59,"Yes"
494800,1932,0.947,4,2,1988,"Crozet","Henley","Western Albemarle","111.03","Average","Central Air",37,"Yes"
339700,1092,0.34,3,2,1973,"Baker-Butler","Lakeside","Albemarle","103.01","Average","Central Air",52,"Yes"
386000,1584,15,3,1,1979,"Ivy","Henley","Western Albemarle","101","Average","Central Air",46,"Yes"
426300,2382,0.2996,4,2,1968,"Woodbrook","Journey","Albemarle","106.04","Average","Central Air",57,"Yes"
779200,3095,6.18,4,4,1972,"Stone-Robinson","Burley","Monticello","104.02","Average","Central Air",53,"No"
322300,1422,0.027,3,2,2011,"Brownsville","Henley","Western Albemarle","111.02","Average","Central Air",14,"No"
379700,1507,5.25,5,3,1973,"Broadus Wood","Journey","Albemarle","102.01","Average","Central Air",52,"Yes"
531800,1957,0.232,3,3,1989,"Woodbrook","Journey","Albemarle","106.04","Average","Central Air",36,"Yes"
171600,1157,1.15,2,1,1956,"Scottsville","Walton","Monticello","113.01","Average","Central Air",69,"No"
467100,1795,0.075,4,4,2017,"Stony Point","Burley","Monticello","105.01","Average","Central Air",8,"No"
744900,2105,0.157,3,2,2021,"Brownsville","Henley","Western Albemarle","111.03","Average","Central Air",4,"Yes"
405000,1350,0,4,2,1959,"Murray","Henley","Western Albemarle","110","Average","Central Air",66,"No"
371300,1400,2.51,3,2,2003,"Broadus Wood","Journey","Albemarle","101","Average","Central Air",22,"No"
476900,2034,0.333,3,2,1990,"Mountain View","Walton","Monticello","113.01","Average","Central Air",35,"Yes"
410900,2026,0.233,3,2,2004,"Crozet","Henley","Western Albemarle","111.01","Average","Central Air",21,"Yes"
838100,2920,0.505,0,3,1994,"Stone-Robinson","Burley","Monticello","104.02","Average","Central Air",31,"Yes"
692900,2400,0.46,4,2,2017,"Brownsville","Henley","Western Albemarle","111.02","Average","Central Air",8,"Yes"
414500,1584,0.372,3,2,2019,"Mountain View","Burley","Monticello","113.02","Average","Central Air",6,"No"
355800,1404,5.6,3,2,1988,"Crozet","Henley","Western Albemarle","101","Average","No Central Air",37,"Yes"
408600,1280,0.17,3,2,1991,"Mountain View","Burley","Monticello","112.02","Average","Central Air",34,"Yes"
972700,3747,0.489,5,4,1993,"Stone-Robinson","Burley","Monticello","104.02","Average","Central Air",32,"Yes"
262800,1008,0,3,2,1984,"Agnor","Journey","Albemarle","107.02","Average","Central Air",41,"Yes"
377800,1468,0.262,3,2,1990,"Baker-Butler","Lakeside","Albemarle","103.03","Average","Central Air",35,"Yes"
803000,2847,0.119,4,3,2024,"Mountain View","Walton","Monticello","113.03","Average","Central Air",1,"Yes"
191900,1320,0.32,2,1,1754,"Crozet","Henley","Western Albemarle","111.01","Average","No Central Air",271,"No"
311600,1386,0,3,2,1968,"Greer","Journey","Albemarle","108.02","Average","Central Air",57,"No"
768700,2900,48.06,2,2,1951,"Red Hill","Walton","Monticello","112.01","Average","No Central Air",74,"Yes"
681900,3002,12.75,4,3,1990,"Broadus Wood","Journey","Albemarle","102.01","Average","Central Air",35,"Yes"
598300,2882,0.349,5,2,2007,"Crozet","Henley","Western Albemarle","111.02","Average","Central Air",18,"Yes"
274900,1422,3.302,2,1,1995,"Scottsville","Walton","Monticello","114","Average","Central Air",30,"Yes"
750900,2876,0.459,4,3,2015,"Crozet","Henley","Western Albemarle","111.02","Average","Central Air",10,"Yes"
682600,1993,154.2,3,1,1754,"Stony Point","Lakeside","Albemarle","104.01","Average","No Central Air",271,"No"
380400,1222,6,1,1,2005,"Ivy","Henley","Western Albemarle","101","Average","Central Air",20,"No"
1229800,3234,0,3,3,1982,"Murray","Henley","Western Albemarle","110","Average","Central Air",43,"Yes"
520300,2565,0.3607,4,2,1969,"Woodbrook","Journey","Albemarle","106.04","Average","Central Air",56,"Yes"
512600,1890,3.763,3,3,1991,"Red Hill","Walton","Monticello","112.02","Average","No Central Air",34,"Yes"
268100,1334,0.096,3,2,1993,"Baker-Butler","Lakeside","Albemarle","102.01","Average","Central Air",32,"No"
366300,1420,0.05,4,3,2007,"Hollymead","Lakeside","Albemarle","103.01","Average","Central Air",18,"Yes"
335300,2052,2.031,3,2,2015,"Scottsville","Walton","Monticello","114","Average","Central Air",10,"Yes"
634100,2504,0.203,5,3,2020,"Crozet","Henley","Western Albemarle","111.02","Average","Central Air",5,"No"
208800,960,0,3,1,1988,"Brownsville","Henley","Western Albemarle","112.01","Average","Central Air",37,"No"
569600,2912,4,4,2,2022,"Stony Point","Lakeside","Albemarle","104.01","Average","Central Air",3,"No"
655900,2476,1.042,4,3,2012,"Baker-Butler","Lakeside","Albemarle","104.01","Average","Central Air",13,"Yes"
303700,1352,2.81,3,2,2010,"Brownsville","Henley","Western Albemarle","112.01","Average","Central Air",15,"No"
436000,3596,8.688,2,2,2005,"Red Hill","Walton","Monticello","114","Average","Central Air",20,"No"
576300,2054,0.183,3,2,2020,"Crozet","Henley","Western Albemarle","111.02","Average","Central Air",5,"Yes"
924700,4180,1.378,4,4,2003,"Broadus Wood","Journey","Albemarle","102.01","Average","Central Air",22,"Yes"
603300,2421,0.472,4,4,2006,"Mountain View","Walton","Monticello","112.02","Average","Central Air",19,"Yes"
428800,1960,0.038,3,3,2024,"Crozet","Henley","Western Albemarle","111.02","Average","Central Air",1,"No"
328900,1144,0,3,3,1985,"Agnor","Journey","Albemarle","106.03","Average","Central Air",40,"No"
420000,988,24.26,2,1,1950,"Broadus Wood","Journey","Albemarle","101","Average","No Central Air",75,"No"
385800,2018,2.46,3,2,2004,"Brownsville","Henley","Western Albemarle","111.03","Average","Central Air",21,"Yes"
745300,2560,28.19,4,3,1984,"Ivy","Henley","Western Albemarle","101","Average","Central Air",41,"Yes"
470300,1792,0.6883,3,3,1974,"Woodbrook","Journey","Albemarle","106.04","Average","Central Air",51,"Yes"
362800,1503,2.769,3,2,1999,"Broadus Wood","Journey","Albemarle","102.01","Average","Central Air",26,"No"
271400,1443,14.865,3,2,1995,"Red Hill","Walton","Monticello","114","Average","Central Air",30,"Yes"
377200,1584,3.01,3,2,2003,"Stone-Robinson","Walton","Monticello","113.01","Average","Central Air",22,"No"
209700,960,2.913,3,1,1975,"Stone-Robinson","Walton","Monticello","113.01","Average","Central Air",50,"No"
438300,1742,0.125,3,2,2010,"Brownsville","Henley","Western Albemarle","111.03","Average","Central Air",15,"No"
192000,936,1,4,1,1960,"Baker-Butler","Lakeside","Albemarle","103.01","Average","Central Air",65,"Yes"
522200,1812,26.8,1,3,1999,"Red Hill","Walton","Monticello","114","Average","Central Air",26,"Yes"
412200,1336,0.418,3,2,1988,"Mountain View","Walton","Monticello","113.03","Average","Central Air",37,"No"
469400,1920,7.07,3,2,2006,"Broadus Wood","Journey","Albemarle","101","Average","Central Air",19,"Yes"
348300,1715,2.702,4,2,1972,"Stony Point","Lakeside","Albemarle","104.01","Average","Central Air",53,"Yes"
247500,1260,0.075,3,1,1981,"Greer","Journey","Albemarle","107.02","Average","Central Air",44,"Yes"
541400,2262,0.073,3,3,2022,"Agnor","Burley","Albemarle","106.02","Average","Central Air",3,"Yes"
398400,1532,1.66,3,2,1965,"Stone-Robinson","Burley","Monticello","104.02","Average","Central Air",60,"Yes"
259100,1260,0,3,1,1981,"Agnor","Journey","Albemarle","107.02","Average","Central Air",44,"No"
273500,1498,0,3,1,1972,"Mountain View","Burley","Monticello","113.02","Average","Central Air",53,"No"
451400,2164,2.444,3,2,1988,"Baker-Butler","Lakeside","Albemarle","102.01","Average","Central Air",37,"Yes"
336400,1528,0.068,3,3,2003,"Baker-Butler","Lakeside","Albemarle","102.01","Average","Central Air",22,"No"
551100,2986,0.258,5,2,2005,"Crozet","Henley","Western Albemarle","111.02","Average","Central Air",20,"Yes"
709300,2610,0,4,3,1966,"Greer","Journey","Albemarle","108.02","Average","Central Air",59,"Yes"
427200,1843,2.626,4,2,1990,"Brownsville","Henley","Western Albemarle","112.01","Average","Central Air",35,"Yes"
512000,2572,0.15,3,2,2003,"Crozet","Henley","Western Albemarle","111.03","Average","Central Air",22,"Yes"
391900,1879,0.034,3,3,2023,"Brownsville","Henley","Western Albemarle","111.03","Average","Central Air",2,"No"
747100,3032,9.071,3,2,2002,"Brownsville","Henley","Western Albemarle","111.03","Average","Central Air",23,"Yes"
843000,2394,0.5,4,3,1995,"Stone-Robinson","Burley","Monticello","104.02","Average","Central Air",30,"Yes"
393100,1322,0,4,3,1969,"Stony Point","Burley","Monticello","105.01","Average","Central Air",56,"Yes"
694600,2388,0,4,3,1967,"Greer","Journey","Albemarle","108.02","Average","Central Air",58,"Yes"
755000,3419,5.1,4,3,2005,"Broadus Wood","Journey","Albemarle","102.01","Average","Central Air",20,"Yes"
781500,2878,0.949,4,2,1988,"Ivy","Henley","Western Albemarle","110","Average","Central Air",37,"Yes"
392100,1600,0.044,3,2,2010,"Stone-Robinson","Burley","Monticello","105.02","Average","Central Air",15,"No"
570900,3216,5.09,4,3,1981,"Broadus Wood","Journey","Albemarle","101","Average","Central Air",44,"Yes"
221700,1198,2.013,3,1,1940,"Red Hill","Walton","Monticello","112.01","Average","No Central Air",85,"No"
664000,1932,0.239,2,3,2002,"Agnor","Burley","Albemarle","106.02","Average","Central Air",23,"Yes"
243000,1584,3.505,3,1,1961,"Brownsville","Henley","Western Albemarle","112.01","Average","Central Air",64,"Yes"
512100,1742,0.197,3,2,1999,"Mountain View","Burley","Monticello","112.02","Average","Central Air",26,"Yes"
433900,2320,0.041,3,2,2023,"Hollymead","Lakeside","Albemarle","103.02","Average","Central Air",2,"No"
847900,2759,0.104,4,3,2019,"Stony Point","Burley","Monticello","105.01","Average","Central Air",6,"Yes"
549500,2864,2.02,3,2,1981,"Stone-Robinson","Walton","Monticello","113.01","Average","Central Air",44,"Yes"
422900,1668,8.344,3,2,1977,"Murray","Henley","Western Albemarle","112.01","Average","No Central Air",48,"No"
545900,2182,0.381,4,3,2004,"Mountain View","Burley","Monticello","112.02","Average","Central Air",21,"Yes"
266400,1474,0,3,2,1974,"Mountain View","Burley","Monticello","113.02","Average","Central Air",51,"Yes"
543600,2252,0.076,3,2,2021,"Mountain View","Walton","Monticello","113.03","Average","Central Air",4,"No"
412200,2190,2.896,4,3,2007,"Stone-Robinson","Walton","Monticello","113.01","Average","Central Air",18,"No"
771700,3385,0.538,5,4,2010,"Hollymead","Lakeside","Albemarle","103.02","Average","Central Air",15,"Yes"
250300,922,0.57,2,1,1955,"Ivy","Henley","Western Albemarle","110","Average","Central Air",70,"Yes"
428500,1774,0,2,2,1955,"Murray","Henley","Western Albemarle","110","Average","Central Air",70,"No"
353100,1280,0.037,3,2,2012,"Crozet","Henley","Western Albemarle","111.01","Average","Central Air",13,"No"
415300,1581,0.39,3,2,1988,"Mountain View","Walton","Monticello","113.03","Average","Central Air",37,"Yes"
730500,3225,0.181,4,2,2023,"Crozet","Henley","Western Albemarle","111.02","Average","Central Air",2,"Yes"
585200,2518,0.319,4,2,2003,"Stony Point","Burley","Monticello","105.01","Average","Central Air",22,"Yes"
240400,1165,2.15,2,2,1754,"Stone-Robinson","Burley","Monticello","104.01","Average","Central Air",271,"No"
501600,2219,0.0899,3,2,2019,"Crozet","Henley","Western Albemarle","111.02","Average","Central Air",6,"No"
666000,2937,0.308,4,3,2003,"Stony Point","Burley","Monticello","105.01","Average","Central Air",22,"Yes"
867600,3970,9.67,4,3,1987,"Broadus Wood","Journey","Albemarle","102.02","Average","Central Air",38,"Yes"
370800,1220,0.294,2,2,1991,"Mountain View","Walton","Monticello","113.01","Average","Central Air",34,"No"
527400,2472,0.179,4,2,2001,"Mountain View","Burley","Monticello","112.02","Average","Central Air",24,"Yes"
248000,1216,2.61,3,1,1978,"Stone-Robinson","Burley","Monticello","104.01","Average","No Central Air",47,"No"
542400,2613,0.235,4,2,1995,"Hollymead","Lakeside","Albemarle","103.03","Average","Central Air",30,"Yes"
202500,1768,8.154,3,2,1994,"Stone-Robinson","Burley","Monticello","104.02","Average","Central Air",31,"No"
673100,2237,8.3,4,2,1957,"Hollymead","Lakeside","Albemarle","103.02","Average","Central Air",68,"Yes"
447300,2790,0,4,2,1973,"Agnor","Burley","Albemarle","107.02","Average","Central Air",52,"Yes"
321500,1392,5.496,3,2,1990,"Stone-Robinson","Walton","Monticello","113.01","Average","Central Air",35,"Yes"
224500,5611,2.01,4,2,1991,"Stone-Robinson","Burley","Monticello","104.01","Average","Central Air",34,"No"
665800,2430,1.036,3,2,1979,"Broadus Wood","Journey","Albemarle","101","Average","Central Air",46,"Yes"
1419800,3385,25.16,4,3,1997,"Stony Point","Burley","Monticello","105.01","Average","Central Air",28,"Yes"
504400,2218,0.116,4,3,2005,"Crozet","Henley","Western Albemarle","111.03","Average","Central Air",20,"Yes"
438500,1894,0.246,3,2,1985,"Woodbrook","Journey","Albemarle","106.04","Average","Central Air",40,"Yes"
853200,3126,0.574,5,3,2015,"Stony Point","Burley","Monticello","105.01","Average","Central Air",10,"Yes"
246100,1956,0.853,3,2,1995,"Scottsville","Walton","Monticello","114","Average","Central Air",30,"No"
1360100,4430,0.92,5,5,2017,"Mountain View","Walton","Monticello","112.02","Average","Central Air",8,"Yes"
592000,1926,22.54,4,2,2014,"Scottsville","Walton","Monticello","113.01","Average","Central Air",11,"No"
507300,2159,0.98,4,3,2001,"Mountain View","Burley","Monticello","112.02","Average","Central Air",24,"Yes"
1637100,4058,1.53,4,4,1970,"Murray","Henley","Western Albemarle","110","Average","Central Air",55,"Yes"
505200,2200,0.0577,3,3,2015,"Brownsville","Henley","Western Albemarle","111.03","Average","Central Air",10,"No"
543100,2494,2,4,3,1999,"Red Hill","Walton","Monticello","112.02","Average","Central Air",26,"Yes"
1239500,3724,3.771,3,2,1993,"Murray","Henley","Western Albemarle","112.02","Average","Central Air",32,"Yes"
771900,3252,2.028,4,4,1975,"Ivy","Henley","Western Albemarle","110","Average","Central Air",50,"Yes"
405300,1344,0,3,2,1983,"Broadus Wood","Journey","Albemarle","102.02","Average","Central Air",42,"Yes"
365200,1216,0.61,4,2,1956,"Crozet","Henley","Western Albemarle","111.01","Average","Central Air",69,"Yes"
623800,2550,0.306,4,3,1999,"Stony Point","Burley","Monticello","105.02","Average","Central Air",26,"Yes"
922400,3718,5,3,3,1976,"Stony Point","Burley","Monticello","105.01","Average","Central Air",49,"Yes"
385500,1311,0,3,3,1971,"Baker-Butler","Lakeside","Albemarle","103.03","Average","Central Air",54,"Yes"
894800,3277,0.515,4,3,1993,"Stone-Robinson","Burley","Monticello","104.02","Average","Central Air",32,"Yes"
477200,2110,0.166,3,2,2007,"Crozet","Henley","Western Albemarle","111.01","Average","Central Air",18,"Yes"
331900,1040,0.742,3,3,1989,"Crozet","Henley","Western Albemarle","111.02","Average","Central Air",36,"No"
